1004523,3357677,2465336,pv,1512007939
1008891,2659397,3059103,pv,1511659428
1006121,735791,2520377,pv,1511867843
1005788,4118984,1320293,cart,1511579986
10236,246334,4643350,pv,1511849871
1007221,408969,1281171,pv,1511655311
1009710,5104417,4643350,pv,1511855685
103790,1497905,154040,pv,1512225228
1000317,4421027,4611962,buy,1511703515
1017313,4116217,3774512,pv,1512186257
105081,105067,1568197,pv,1511609718
1013943,800980,2065526,pv,1511792620
1010327,2876584,149192,pv,1511620962
1009402,3728026,2578647,cart,1511882324
1004467,1965122,4145813,pv,1511655919
102802,2393667,3252563,cart,1511944102
100356,4912751,4993094,pv,1512298313
1012395,1183621,2087597,pv,1512181439
1005815,4330130,2355072,pv,1511773835
1010311,3384545,4818107,pv,1512040256
1013830,3028268,2735466,pv,1511584981
1008631,4232924,3286162,pv,1512141378
1007629,3864087,1080785,pv,1511872008
1003343,5004782,2465336,pv,1511699896
104242,2730788,982926,pv,1511625088
1005293,3744967,5063620,pv,1512041412
1000154,539970,3607361,pv,1512181340
1007028,775920,1320293,pv,1511833972
102976,4637239,3776866,pv,1512282773
1011499,3374210,4217906,pv,1511840675
1003550,757636,4148053,pv,1512179603
1011729,2157149,2052526,pv,1511867354
1010196,2421273,3738615,cart,1511709624
1003510,1984229,2858794,pv,1512263671
1007925,1089317,4672807,pv,1511842187
103178,3952590,2355072,pv,1512141044
103847,3772437,3184456,pv,1512050853
1005953,2286587,2290623,fav,1512039260
104010,1326172,2592038,pv,1511831564
1011937,431025,1792277,pv,1512223603
1015375,3034482,1737857,pv,1512116867
1001875,98969,1574064,pv,1512263861
1011036,664983,149192,pv,1512230524
1014265,3057266,4170419,pv,1512030727
1013655,4386576,3470850,pv,1511685875
1008230,4443059,570735,pv,1511585075
1006543,4121434,982926,pv,1512115122
101443,3797165,4756105,pv,1511579711
1003756,699262,2920476,pv,1511592962
1005807,1975831,4756105,pv,1512288719
1011725,3922328,1320293,pv,1511785843
1010399,1522968,2014414,pv,1511810926
1009636,2331370,3607361,pv,1511688033
101808,5122568,339580,pv,1511593623
1004354,4358326,146830,cart,1511799761
1010327,5072332,4643350,pv,1512190387
1011816,3847054,2096639,pv,1512201522
105381,1418658,3791831,cart,1511963346
104675,718536,1575622,pv,1511597267
1010125,1584947,2693696,pv,1512261233
102917,832957,3409740,pv,1511915067
1017036,5103680,965809,pv,1511582724
1012849,929536,4558987,pv,1512105468
1004726,1977832,2650009,pv,1511884701
1005985,4413209,1320530,pv,1512309746
1004381,3617291,3138705,pv,1512288720
1012945,570130,1811343,pv,1511566838
1007387,2320453,2293367,fav,1512011324
1007071,62946,5045733,pv,1512263281
105869,1732082,3002561,pv,1512301734
1002453,4344804,2096639,pv,1512200098
1011235,2477759,903809,cart,1511787720
105581,4430014,4151801,pv,1511663079
10057,1320316,2492895,pv,1511575107
10306,3481028,2288113,pv,1511580868
1013224,792159,1320293,pv,1511623853
